ETTJ PREFIXADOS (%a.a./252)
15/08/2019
Vertices;Fechamento D -1;D0
21;5,8944;5,8358
126;5,4062;5,4033
252;5,3616;5,3704
378;5,5601;5,5604
504;5,8280;5,8166
630;6,0920;6,0717
756;6,3256;6,3002
882;6,5230;6,4955
1.008;6,6866;6,6593
1.134;6,8215;6,7958
1.260;6,9331;6,9097
1.386;7,0260;7,0052
1.512;7,1041;7,0860
1.638;7,1705;7,1549
1.764;7,2274;7,2143
1.890;7,2767;7,2659
2.016;7,3198;7,3110
2.142;7,3578;7,3509
2.268;7,3916;7,3864

ETTJ IPCA (%a.a./252)
15/08/2019
Vertices;Fechamento D -1;D0
252;2,0342;2,0159
378;1,9974;1,9773
504;2,1668;2,1475
630;2,3473;2,3293
756;2,5005;2,4835
882;2,6259;2,6097
1.008;2,7300;2,7143
1.134;2,8184;2,8031
1.260;2,8953;2,8802
1.386;2,9633;2,9483
1.512;3,0241;3,0092
1.638;3,0792;3,0643
1.764;3,1293;3,1144
1.890;3,1751;3,1601
2.016;3,2170;3,2020
2.142;3,2556;3,2405
2.268;3,2912;3,2760
2.394;3,3240;3,3087
2.520;3,3543;3,3390
2.646;3,3824;3,3670
2.772;3,4084;3,3930
2.898;3,4326;3,4171
3.024;3,4551;3,4395
3.150;3,4761;3,4604
3.276;3,4957;3,4799
3.402;3,5139;3,4981
3.528;3,5310;3,5152
3.654;3,5471;3,5311
3.780;3,5621;3,5461
3.906;3,5762;3,5602
4.032;3,5895;3,5734
4.158;3,6020;3,5859
4.284;3,6139;3,5977
4.410;3,6250;3,6088
4.536;3,6356;3,6194
4.662;3,6456;3,6294
4.788;3,6551;3,6388
4.914;3,6642;3,6478
5.040;3,6727;3,6564
5.166;3,6809;3,6645
5.292;3,6887;3,6723
5.418;3,6961;3,6797
5.544;3,7032;3,6867
5.670;3,7100;3,6935
5.796;3,7165;3,6999
5.922;3,7227;3,7061
6.048;3,7286;3,7121
6.174;3,7343;3,7177
6.300;3,7398;3,7232
6.426;3,7451;3,7285
6.552;3,7502;3,7335
6.678;3,7550;3,7384
6.804;3,7597;3,7430
6.930;3,7643;3,7476
7.056;3,7686;3,7519
7.182;3,7728;3,7561
7.308;3,7769;3,7602
7.434;3,7808;3,7641
7.560;3,7846;3,7678
7.686;3,7883;3,7715
7.812;3,7919;3,7750
7.938;3,7953;3,7785
8.064;3,7986;3,7818
8.190;3,8019;3,7850
8.316;3,8050;3,7881
8.442;3,8080;3,7912
8.568;3,8110;3,7941
8.694;3,8139;3,7970
8.820;3,8166;3,7997
8.946;3,8193;3,8024

